,endereço,bairro,point_location,latitude,longitude
102,"R. Napoleão de Barros, 1222 - Vila Clementino, São Paulo - SP, 04024-003, Brazil",Vila Clementino,"23 36m 7.38972s S, 46 38m 40.5971s W",-23.6021299,-46.6445558
103,"R. Guararapes, 67 - Brooklin, São Paulo - SP, 45610-000, Brazil",Brooklin,"23 36m 48.6774s S, 46 40m 45.5776s W",-23.6134577,-46.6792943
104,"R. Camillo Nader, 123 - Vila Morumbi, São Paulo - SP, 05688-030, Brazil",Vila Morumbi,"23 36m 47.4062s S, 46 42m 22.2318s W",-23.6131532,-46.7061489
105,"Av. José Galante, 671/22 - Vila Suzana, São Paulo - SP, 05642-001, Brazil",Vila Suzana,"23 37m 17.8813s S, 46 44m 14.1526s W",-23.6216337,-46.7372647
106,"R. Pascoal Vita, 525 - Vila Madalena, São Paulo - SP, 05445-001, Brazil",Vila Madalena,"23 33m 8.81568s S, 46 41m 57.2096s W",-23.5524617,-46.6993093
107,"Condomínio Edifício Bosque das Samambaias - R. Samambaia, 550 - Bosque da Saúde, São Paulo - SP, 04136-111, Brazil",Bosque da Saúde,"23 36m 46.8209s S, 46 37m 28.1219s W",-23.6129473,-46.6244062
108,"Alameda Joaquim Eugênio de Lima, 921 - Jardins, São Paulo - SP, 01403-000, Brazil",Jardins,"23 34m 8.85144s S, 46 39m 12.488s W",-23.5690897,-46.6535164
109,"Av. Dr. Guilherme Dumont Vilares, 2009 - Jardim Londrina, São Paulo - SP, 05640-003, Brazil",Jardim Londrina,"23 37m 20.1608s S, 46 44m 17.8498s W",-23.6224747,-46.7384175
110,"R. Jaspe, 80 - Aclimação, São Paulo - SP, 01531-060, Brazil",Aclimação,"23 34m 15.4999s S, 46 37m 56.1601s W",-23.5708349,-46.6323273
111,"R. Xavier Gouveia, 248 - Parque Colonial, São Paulo - SP, 04610-010, Brazil",Parque Colonial,"23 37m 39.7384s S, 46 40m 24.231s W",-23.6276318,-46.6735386
112,"R. Matias Aires, 206 - Consolação, São Paulo - SP, 01309-020, Brazil",Consolação,"23 33m 18.2322s S, 46 39m 28.5671s W",-23.5550735,-46.6579607
113,"Condomínio Edifício Spazio Centrale - Alameda Itu, 852 - Cerqueira César, São Paulo - SP, 01421-001, Brazil",Cerqueira César,"23 33m 44.5558s S, 46 39m 40.0259s W",-23.5623657,-46.6610021
114,"R. Ilansa, 274 - Vila Prudente, São Paulo - SP, 03127-070, Brazil",Vila Prudente,"23 34m 46.6097s S, 46 35m 19.7902s W",-23.5796413,-46.5887047
115,"R. Indiana, 240 - Brooklin, São Paulo - SP, 04562-000, Brazil",Brooklin,"23 36m 47.5049s S, 46 40m 51.8826s W",-23.6133594,-46.6811316
116,"Condomínio Edifício Antigona - Alameda Franca, 1313 - Cerqueira César, São Paulo - SP, 01422-005, Brazil",Cerqueira César,"23 33m 38.1895s S, 46 39m 55.1819s W",-23.5604996,-46.66539
117,"R. Frei Caneca, 1140 - Consolação, São Paulo - SP, 01307-002, Brazil",Consolação,"23 33m 24.3695s S, 46 39m 26.1367s W",-23.5568506,-46.657206
118,"Av. Barão de Monte Mor, 330 - Real Parque, São Paulo - SP, 05687-010, Brazil",Real Parque,"23 36m 37.0044s S, 46 42m 23.5174s W",-23.6102772,-46.7065684
119,"R. Frei Caneca, 617 - Consolação, São Paulo - SP, 01307-001, Brazil",Consolação,"23 33m 14.8198s S, 46 39m 11.0009s W",-23.5541189,-46.6530597
120,"R. Flórida, 76 - Cidade Monções, São Paulo - SP, 04565-000, Brazil",Cidade Monções,"23 37m 0.1524s S, 46 40m 53.1538s W",-23.6168015,-46.6815814
121,"Condomínio Edifício Passo da Pátria - R. Passo da Pátria, 1240 - Bela Aliança, São Paulo - SP, 05085-000, Brazil",Bela Aliança,"23 31m 32.1024s S, 46 43m 46.2191s W",-23.525588,-46.729506
122,"Condomínio Edifício Paraíso - R. Dr. Rafael de Barros, 185 - Paraíso, São Paulo - SP, 04003-041, Brazil",Paraíso,"23 34m 21.3312s S, 46 38m 45.8477s W",-23.5725783,-46.6460746
123,"Condomínio Edifício Isabele 357 - R. Dr. José Maria Whitaker, 422 - Morumbi, São Paulo - SP, 05622-001, Brazil",Morumbi,"23 35m 52.4674s S, 46 43m 27.3299s W",-23.5978861,-46.7243159
124,"R. Topázio, 420 - Vila Mariana, São Paulo - SP, 04105-061, Brazil",Vila Mariana,"23 34m 27.8411s S, 46 37m 57.8982s W",-23.5744485,-46.632681
125,"R. Pascal, 778 - Campo Belo, São Paulo - SP, 04616-002, Brazil",Campo Belo,"23 37m 11.2116s S, 46 40m 24.1057s W",-23.619735,-46.6735144
126,"R. Paracatu, 357 - Parque Imperial, São Paulo - SP, 04302-020, Brazil",Parque Imperial,"23 37m 17.1577s S, 46 38m 17.0956s W",-23.6214288,-46.6380844
127,"R. Abílio Soares, 140 - Paraíso, São Paulo - SP, 04005-000, Brazil",Paraíso,"23 34m 24.6122s S, 46 38m 35.2507s W",-23.5735034,-46.6431252
128,"R. Dom Salomão Ferraz, 18 - Vila Andrade, São Paulo - SP, 05729-140, Brazil",Vila Andrade,"23 38m 10.1688s S, 46 44m 20.2895s W",-23.6361373,-46.7390978
129,"Condomínio Edifício Tertulia - R. Domingos de Morais, 1716 - Vila Mariana, São Paulo - SP, 04010-200, Brazil",Vila Mariana,"23 35m 28.1764s S, 46 38m 8.78676s W",-23.5912012,-46.6358037
130,"R. Lício Marcondes do Amaral, 172 - Vila Progredior, São Paulo - SP, 05616-100, Brazil",Vila Progredior,"23 35m 9.717s S, 46 43m 11.6252s W",-23.5859497,-46.7199379
131,"Rua Apinajés, 235 - Pompeia, São Paulo - SP, 05017-000, Brazil",Pompeia,"23 32m 1.61196s S, 46 40m 38.591s W",-23.5337751,-46.67743
132,"R. Palacete das Águias, 842 - Vila Mascote, São Paulo - SP, 04635-023, Brazil",Vila Mascote,"23 38m 39.6899s S, 46 40m 2.79084s W",-23.6443676,-46.6674302
133,"R. Mourato Coelho, 200 - Pinheiros, São Paulo - SP, 05417-000, Brazil",Pinheiros,"23 33m 54.1775s S, 46 41m 10.7909s W",-23.565116,-46.6863618
134,"R. Serra de Japi, 320 - Vila Azevedo, São Paulo - SP, 03309-000, Brazil",Vila Azevedo,"23 32m 31.4077s S, 46 34m 11.734s W",-23.5420918,-46.5699879
135,"R. Francisco Leitão, 479 - Pinheiros, São Paulo - SP, 05414-020, Brazil",Pinheiros,"23 33m 38.7011s S, 46 40m 54.2428s W",-23.5607639,-46.6816284
136,"R. Domingos Lopes da Silva, 880 - Vila Suzana, São Paulo - SP, 05641-030, Brazil",Vila Suzana,"23 37m 13.044s S, 46 44m 15.9306s W",-23.62029,-46.7377585
137,"Condomínio Edifício Plaza Athenee - Rua Tupi, 103 - Pacaembu, São Paulo - SP, 01233-001, Brazil",Pacaembu,"23 31m 58.0087s S, 46 39m 36.7358s W",-23.532772,-46.660198
138,"Alameda Casa Branca, 327 - Jardim Paulista, São Paulo - SP, 01408-001, Brazil",Jardim Paulista,"23 33m 51.2208s S, 46 39m 28.228s W",-23.5641704,-46.6579093
139,"R. Oliveira Lima, 580 - Cambuci, São Paulo - SP, 01541-010, Brazil",Cambuci,"23 34m 19.798s S, 46 37m 4.21212s W",-23.5722123,-46.61784
140,"R. Massaranduba, 63 - Vila Monte Alegre, São Paulo - SP, 04304-120, Brazil",Vila Monte Alegre,"23 37m 26.4688s S, 46 38m 18.595s W",-23.6240405,-46.6383954
